record_id,source_row,title,author,user_rating,reviews,price,year,genre,is_zero_price,is_price_outlier,is_review_outlier,is_rating_outlier,is_title_year_duplicate,is_truncated_text,rating_band,price_band,engagement_segment,review_log10,years_on_list,first_year,last_year
1,1,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.239299479126893,1,2016,2016
2,2,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Developing,3.3121773564397787,1,2011,2011
3,3,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.2782733257981675,1,2018,2018
4,4,1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.330900559667934,1,2017,2017
5,5,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Loved niche,3.884512159190394,1,2019,2019
6,6,A Dance with Dragons (A Song of Ice and Fire),George R.R. Martin,4.4,12643,11,2011,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Mid-range ($11–20),Popular but polarizing,4.101850137938126,1,2011,2011
7,7,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.7,19735,30,2014,Fiction,False,True,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Stars,4.295237130731534,1,2014,2014
8,8,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.294444180196873,1,2017,2017
9,9,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Loved niche,3.7769190028420465,1,2018,2018
10,10,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.3774519630245745,2,2016,2017
11,11,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.3774519630245745,2,2016,2017
12,12,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,2.662757831681574,1,2010,2010
