source_row,column,before,after,reason
208,title,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)","Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)","Encoding, whitespace, or Unicode normalization"
59,author,Brené Brown,Brené Brown,"Encoding, whitespace, or Unicode normalization"
359,author,Delegates of the Constitutional,Delegates of the Constitutional…,"Encoding, whitespace, or Unicode normalization"
537,author,The Staff of The Late Show with,The Staff of The Late Show with…,"Encoding, whitespace, or Unicode normalization"
6,author,George R. R. Martin,George R.R. Martin,Canonical author spelling
7,author,George R. R. Martin,George R.R. Martin,Canonical author spelling
156,author,J. K. Rowling,J.K. Rowling,Canonical author spelling
160,author,J. K. Rowling,J.K. Rowling,Canonical author spelling
321,title,The 5 Love Languages: The Secret to Love That Lasts,The 5 Love Languages: The Secret to Love that Lasts,Canonical title spelling
322,title,The 5 Love Languages: The Secret to Love That Lasts,The 5 Love Languages: The Secret to Love that Lasts,Canonical title spelling
323,title,The 5 Love Languages: The Secret to Love That Lasts,The 5 Love Languages: The Secret to Love that Lasts,Canonical title spelling
324,title,The 5 Love Languages: The Secret to Love That Lasts,The 5 Love Languages: The Secret to Love that Lasts,Canonical title spelling
325,title,The 5 Love Languages: The Secret to Love That Lasts,The 5 Love Languages: The Secret to Love that Lasts,Canonical title spelling
